0: Analytical: 0.666666666666667, Numerical: 0.666689290406816, err: 0.000364267610388309, Evals: 44
1: Analytical: 2, Numerical: 1.99996150007805, err: 0.000412012551873554, Evals: 8580
2: Analytical: 3.14159265358979, Numerical: 3.14161878669555, err: 0.000784025184364594, Evals: 60
3: Analytical: -4, Numerical: -3.99997150974347, err: 0.000408049836369902, Evals: 8688
Numerical integration succesful
Comparison of accuracy between Plots approx and numerical integral of Erf:
Numerical had better approximation 29 times
Plots func had better approximation 2 times

z: 0 NumErr: 0 FunErr: 9.99999971718069E-10
z: 0.02 NumErr: 3.08607514543091E-10 FunErr: 1.02318803405638E-07
z: 0.04 NumErr: 1.44221648512577E-10 FunErr: 1.38210740865952E-07
z: 0.06 NumErr: 3.86473075764115E-10 FunErr: 1.30481638396795E-07
z: 0.08 NumErr: 1.60773630519806E-10 FunErr: 9.60585434389705E-08
z: 0.1 NumErr: 1.28494437312554E-11 FunErr: 4.96221954915388E-08
z: 0.2 NumErr: 2.05236994066382E-10 FunErr: 1.31141684123204E-07
z: 0.3 NumErr: 4.54620452394749E-10 FunErr: 7.62709882473622E-08
z: 0.4 NumErr: 4.42589853655306E-11 FunErr: 6.84672844530887E-08
z: 0.5 NumErr: 1.89689930429893E-10 FunErr: 1.38304747210327E-07
z: 0.6 NumErr: 1.57637569664359E-10 FunErr: 9.38494372215715E-08
z: 0.7 NumErr: 1.53477008879577E-10 FunErr: 1.21438969991061E-08
z: 0.8 NumErr: 2.57087573451997E-10 FunErr: 1.05257808136194E-07
z: 0.9 NumErr: 9.37957600477546E-10 FunErr: 1.37086331952752E-07
z: 1 NumErr: 1.79092296548333E-11 FunErr: 1.03252410066368E-07
z: 1.1 NumErr: 7.65146113135273E-09 FunErr: 2.67964042066637E-08
z: 1.2 NumErr: 3.94181864926679E-09 FunErr: 5.75062124585912E-08
z: 1.3 NumErr: 2.10569350844736E-09 FunErr: 1.17438551994198E-07
z: 1.4 NumErr: 1.43921952133752E-09 FunErr: 1.38268515414985E-07
z: 1.5 NumErr: 6.82802248075376E-09 FunErr: 1.2040297203697E-07
z: 1.6 NumErr: 4.07206535157911E-09 FunErr: 7.28062898858184E-08
z: 1.7 NumErr: 1.80803305660504E-09 FunErr: 1.12076063985E-08
z: 1.8 NumErr: 7.91678389511219E-10 FunErr: 4.81884736558413E-08
z: 1.9 NumErr: 4.30924840255642E-09 FunErr: 9.50233592922345E-08
z: 2 NumErr: 2.31263492800338E-08 FunErr: 1.25418781138364E-07
z: 2.1 NumErr: 1.23747804225971E-08 FunErr: 1.37559241997209E-07
z: 2.2 NumErr: 2.03938685383598E-07 FunErr: 1.35788811861381E-07
z: 2.3 NumErr: 3.83652398738832E-09 FunErr: 1.22237684085924E-07
z: 2.4 NumErr: 3.95146504406085E-09 FunErr: 1.03881994784061E-07
z: 2.5 NumErr: 4.7415680837215E-07 FunErr: 8.34633940849372E-08
z: 3.5 NumErr: 2.13398371876616E-05 FunErr: 2.13457828639463E-05
